epoch,score,epsilon
1,12,0.993519464294648
2,15,0.9856010447307353
3,18,0.976279850107934
4,17,0.9675305747671379
5,12,0.9612604583313399
6,13,0.954553460121176
7,18,0.9455258940210524
8,13,0.938928680514662
9,14,0.9319113089671119
10,17,0.9235596579170025
11,12,0.917574496577849
12,15,0.9102613637141588
13,13,0.9039102012541841
14,14,0.8971545510546989
15,11,0.891786402154447
16,33,0.8767504418816037
17,18,0.8684586877807972
18,31,0.8546705011556123
19,28,0.8423641388395129
20,9,0.8381617821174651
21,25,0.827333507973595
22,16,0.8203292322946492
23,9,0.8162368025428616
24,23,0.8064980752848135
25,8,0.8028760839668281
26,15,0.796477105467505
27,17,0.7893391956790312
28,21,0.7807018972775454
29,18,0.7733185098858425
30,15,0.7671551073176169
31,13,0.7618024394874755
32,10,0.7576229851573638
33,19,0.7500826346653616
34,11,0.7455944946167565
35,15,0.7396520543877567
36,21,0.7315584546501643
37,15,0.7257278826406264
38,8,0.7224686311052574
39,11,0.7181457202054857
40,10,0.7142057784510548
41,12,0.7095773424028339
42,13,0.7046264116491338
43,11,0.7004102601595873
44,16,0.6944805274662552
45,15,0.6889454691276152
46,13,0.6841384930491854
47,10,0.6803851241454388
48,16,0.6746249259527646
49,11,0.6705882891769959
50,11,0.6665758057282575
51,11,0.6625873310844539
52,11,0.6586227215882411
53,15,0.6533734524684215
54,20,0.6465472249444096
55,11,0.6426785918638932
56,23,0.6350106314126487
57,15,0.6299495523016921
58,14,0.6252414310604806
59,15,0.6202582131590649
60,15,0.6153147118525827
61,12,0.6113271428923936
62,8,0.608581666279541
63,12,0.604637731061594
64,9,0.601621335519126
65,39,0.5897054853908725
66,11,0.5861769664203653
67,12,0.582378225659823
68,14,0.5780256433226661
69,14,0.5737055913449342
70,13,0.5697026779399755
71,13,0.5657276940444539
72,12,0.5620614755236926
73,15,0.5575818062833237
74,15,0.5531378403198687
75,21,0.5470851615600282
76,11,0.5438116624679041
77,140,0.5067842382020455
78,35,0.49774148998679685
79,68,0.48085810085242375
80,50,0.4687482485418297
81,20,0.46385092346083656
82,29,0.45694336878493574
83,7,0.4551187907167724
84,9,0.4528483100287724
85,12,0.44991361038652267
86,11,0.4472215399400589
87,10,0.44476796155183623
88,10,0.44232784415860044
89,9,0.4401211744969389
90,13,0.4370503190341745
91,12,0.43421799883663814
92,11,0.43161984351302723
93,13,0.4286083043481496
94,75,0.41262283992665844
95,52,0.4018292824889141
96,26,0.396439701215766
97,96,0.37766661019300973
98,65,0.3654039924303994
99,37,0.35852515268743473
100,57,0.3482747104031893
101,70,0.33612485665139746
102,74,0.32375054939610115
103,47,0.316071137836787
104,43,0.30919180304370203
105,62,0.2996017007995348
106,55,0.29132716855399593
107,74,0.2806020709476581
108,72,0.27054228833539584
109,98,0.2574733039884987
110,65,0.24911329379518618
111,66,0.24090421596362763
112,98,0.2292669468072913
113,126,0.21515767919546944
114,68,0.20785953167073312
115,92,0.1984130351754656
116,65,0.1919706779646106
117,85,0.18388892150547012
118,71,0.17738506620419292
119,152,0.16431802936926773
120,214,0.14756619717460304
121,87,0.14121250251143486
122,159,0.1303529614278081
123,39,0.12777116078271059
124,51,0.12449111592591955
125,99,0.11841813182816537
126,78,0.11383066767588322
127,101,0.10816947591534866
128,154,0.10010101610416916
129,49,0.09762890282448358
130,364,0.08133919021416433
131,141,0.07576301076719531
132,107,0.07177933953532549
133,499,0.05589831091979225
134,277,0.048642585982970915
135,184,0.044343949323007774
136,65,0.042904126775934553
137,81,0.04118020843446251
138,182,0.037578605301288565
139,499,0.029264417542178733
140,388,0.024090648073624644
141,73,0.023215367818891056
142,167,0.021344486406041925
143,155,0.019742505517443016
144,237,0.01752702879422892
145,118,0.01651434359359569
146,499,0.012860579643210355
147,101,0.012220978655195893
148,157,0.01129244909074907
149,499,0.009995187929535779
150,114,0.009995187929535779
151,499,0.009995187929535779
152,499,0.009995187929535779
153,499,0.009995187929535779
154,499,0.009995187929535779
155,499,0.009995187929535779
156,499,0.009995187929535779
157,499,0.009995187929535779
158,499,0.009995187929535779
159,499,0.009995187929535779
160,499,0.009995187929535779
