epoch,score
1,27.0
2,35.0
3,15.0
4,27.0
5,18.0
6,16.0
7,18.0
8,19.0
9,12.0
10,52.0
11,30.0
12,12.0
13,15.0
14,11.0
15,14.0
16,56.0
17,11.0
18,22.0
19,11.0
20,30.0
21,51.0
22,33.0
23,28.0
24,21.0
25,26.0
26,21.0
27,59.0
28,43.0
29,30.0
30,69.0
31,61.0
32,24.0
33,21.0
34,20.0
35,11.0
36,13.0
37,31.0
38,28.0
39,15.0
40,15.0
41,15.0
42,39.0
43,11.0
44,27.0
45,28.0
46,21.0
47,19.0
48,24.0
49,50.0
50,12.0
51,21.0
52,15.0
53,141.0
54,35.0
55,71.0
56,71.0
57,29.0
58,41.0
59,76.0
60,27.0
61,36.0
62,17.0
63,49.0
64,31.0
65,46.0
66,19.0
67,39.0
68,43.0
69,36.0
70,12.0
71,76.0
72,51.0
73,22.0
74,13.0
75,37.0
76,16.0
77,48.0
78,72.0
79,30.0
80,62.0
81,23.0
82,22.0
83,17.0
84,15.0
85,55.0
86,109.0
87,62.0
88,94.0
89,28.0
90,37.0
91,46.0
92,23.0
93,87.0
94,16.0
95,16.0
96,31.0
97,29.0
98,53.0
99,46.0
100,70.0
101,109.0
102,40.0
103,17.0
104,60.0
105,99.0
106,53.0
107,35.0
108,14.0
109,37.0
110,34.0
111,34.0
112,52.0
113,47.0
114,108.0
115,65.0
116,118.0
117,26.0
118,28.0
119,50.0
120,67.0
121,42.0
122,25.0
123,20.0
124,48.0
125,50.0
126,25.0
127,71.0
128,183.0
129,151.0
130,72.0
131,48.0
132,80.0
133,31.0
134,101.0
135,45.0
136,79.0
137,63.0
138,47.0
139,96.0
140,98.0
141,49.0
142,31.0
143,158.0
144,286.0
145,52.0
146,115.0
147,112.0
148,51.0
149,68.0
150,144.0
151,135.0
152,82.0
153,110.0
154,83.0
155,71.0
156,84.0
157,41.0
158,54.0
159,58.0
160,126.0
161,128.0
162,68.0
163,137.0
164,65.0
165,44.0
166,19.0
167,100.0
168,19.0
169,131.0
170,77.0
171,287.0
172,115.0
173,115.0
174,113.0
175,60.0
176,230.0
177,59.0
178,395.0
179,35.0
180,40.0
181,263.0
182,109.0
183,90.0
184,150.0
185,108.0
186,222.0
187,87.0
188,115.0
189,85.0
190,105.0
191,186.0
192,121.0
193,144.0
194,99.0
195,210.0
196,127.0
197,67.0
198,89.0
199,150.0
200,228.0
201,185.0
202,273.0
203,168.0
204,119.0
205,188.0
206,272.0
207,142.0
208,176.0
209,236.0
210,81.0
211,454.0
212,203.0
213,78.0
214,500.0
215,488.0
216,27.0
217,84.0
218,401.0
219,152.0
220,233.0
221,183.0
222,280.0
223,381.0
224,344.0
225,500.0
226,169.0
227,321.0
228,160.0
229,95.0
230,195.0
231,144.0
232,31.0
233,43.0
234,324.0
235,244.0
236,148.0
237,500.0
238,140.0
239,272.0
240,436.0
241,119.0
242,95.0
243,260.0
244,301.0
245,235.0
246,378.0
